firm_index,firm_ticker,q,p,u,d
1,MMM,0.5451147500137891,0.5163346613545817,1.0097246998950633,0.988738940251385
2,AOS,0.5108349203696542,0.5067729083665339,1.0122773494693582,0.9875438543778793
3,ABT,0.5222644959758027,0.5426294820717131,1.0100611582893642,0.9893748772139148
4,ABBV,0.5106076586118424,0.5258964143426295,1.011252943602445,0.9886241541987641
6,ACN,0.5298224958111479,0.547410358565737,1.010247867317276,0.9888319555516775
7,ATVI,0.49825869243167537,0.503585657370518,1.0127749157208537,0.9876696908620449
8,ADM,0.5189922438119626,0.547410358565737,1.0104167419755994,0.9891319404926917
9,ADBE,0.5454440813811263,0.5633466135458167,1.012862225205707,0.9849588643368246
10,AAP,0.5040505188423761,0.5139442231075697,1.013210475709319,0.9869338309480373
11,AMD,0.49607016978626417,0.5330677290836653,1.0221591439529478,0.9785408557277263
12,AES,0.5194707350750672,0.5490039840637451,1.0132074177731762,0.9860939174085035
13,AFL,0.5288519270702928,0.545816733067729,1.0101744847637029,0.988958442579453
14,A,0.518365832667664,0.5426294820717131,1.0114192612982604,0.988080647289371
15,APD,0.5119876604330926,0.5322709163346614,1.0102981204474037,0.989561896681041
16,AKAM,0.5231436812527607,0.5298804780876494,1.0110870503251053,0.9882112646369445
17,ALK,0.49088066222103194,0.48366533864541833,1.0183978462154801,0.982612014701864
18,ALB,0.5111149523933731,0.5258964143426295,1.019286114240963,0.9802022294686485
19,ARE,0.5218221225956731,0.5227091633466135,1.0096318730404585,0.9898624815362441
20,ALGN,0.5066778945600545,0.5115537848605578,1.020210033735227,0.9796048264255632
21,ALLE,0.5190010671185992,0.5266932270916335,1.011769932212568,0.9876714487300113
22,LNT,0.5203088009410192,0.5274900398406375,1.00898563520417,0.9906258073648251
23,ALL,0.5343359510283637,0.5426294820717131,1.0096400178803548,0.9893218710793485
24,GOOGL,0.5077638022017473,0.5219123505976095,1.0118299772756536,0.9881596540560864
25,GOOG,0.5087904663434277,0.5235059760956176,1.01174916023106,0.9881938909114067
26,MO,0.5588665556719052,0.5402390438247012,1.009754827484316,0.9880465661088863
27,AMZN,0.5140159162783079,0.5235059760956176,1.0136935264285385,0.9858840991081164
29,AEE,0.529425274016639,0.5434262948207171,1.0086102104830397,0.9906924970061377
30,AAL,0.487484877686064,0.47330677290836654,1.0244778997314634,0.9770660063060418
31,AEP,0.5353470234226052,0.5426294820717131,1.0084986619658105,0.9905926654225461
32,AXP,0.5097640324704926,0.5227091633466135,1.0134179515538064,0.9864118462141133
33,AIG,0.5271007458428655,0.5314741035856574,1.014326155058278,0.9844094919201735
34,AMT,0.520209228189629,0.5322709163346614,1.0104271798771778,0.989066634602184
35,AWK,0.5321465939469813,0.550597609561753,1.00921329898741,0.9899023107651974
36,AMP,0.5152962755217204,0.5338645418326693,1.0141538854603673,0.9853212246385183
37,ABC,0.5190505297186586,0.5354581673306773,1.012087568069401,0.987326171224455
38,AME,0.5134281818174006,0.5354581673306773,1.0104376945805944,0.9893532280664523
39,AMGN,0.5076186825881528,0.5187250996015936,1.0098565844878216,0.9902010923475129
40,APH,0.529046824204978,0.545816733067729,1.0104352733890551,0.9886567048544178
41,ADI,0.5194613598847047,0.5362549800796813,1.0130361517834034,0.9862795845967972
42,ANSS,0.5200286835790499,0.5330677290836653,1.0132900745985092,0.9859728438046343
44,AON,0.5240012745633871,0.5537848605577689,1.0092831994425475,0.990155811946293
45,APA,0.5020324066376234,0.5155378486055777,1.0266673375761883,0.9734736146193733
46,AAPL,0.5088742166174918,0.5418326693227091,1.0127307560195302,0.9871728051425022
47,AMAT,0.49952327249075434,0.5155378486055777,1.0185352302446635,0.9818569156252764
48,APTV,0.5118254732554489,0.5179282868525896,1.0174403236397516,0.9820805592098758
49,ANET,0.5033484680988186,0.5243027888446216,1.016621868501055,0.9835135821645324
50,AJG,0.5364737815828926,0.5792828685258964,1.0087817358875826,0.9902215160502598
51,AIZ,0.5227460277142467,0.5290836653386454,1.0103709391284,0.9890146962328475
52,T,0.5289718057694356,0.4964143426294821,1.0093985897034388,0.9898243849255237
53,ATO,0.5135996861996607,0.5211155378486055,1.008947781307657,0.9909190225148358
54,ADSK,0.5160955656186271,0.5314741035856574,1.0158645929367143,0.9834490901042816
55,ADP,0.5243587465999984,0.5490039840637451,1.0097825343429512,0.9895909573909908
56,AZO,0.5039502740859862,0.545816733067729,1.0108058819450583,0.9893820326483402
57,AVB,0.5345854222362968,0.5282868525896415,1.0097779048305027,0.9891526001758251
58,AVY,0.5118079787836648,0.5250996015936255,1.0121778393332779,0.9875988797468769
61,BAC,0.5176904861294248,0.5211155378486055,1.0131770563713125,0.9862265844770293
63,BAX,0.5513779868767705,0.5354581673306773,1.0090368982059887,0.9892912981831086
64,BDX,0.5237406901233834,0.5250996015936255,1.0093199837166125,0.990125825925592
65,BRK.B,0.5005270966168659,0.5147410358565737,1.0087686497821136,0.9915703946805227
66,BBY,0.5264231032449868,0.5330677290836653,1.0153240567414652,0.9833430427354083
67,BIO,0.518435494538095,0.5338645418326693,1.0131571036027966,0.9862063709757111
68,TECH,0.5116387293330099,0.5378486055776892,1.0133407395054523,0.9863890688414833
70,BLK,0.5195539232418485,0.5290836653386454,1.0125099544757028,0.9868434589024399
71,BK,0.5228307617327365,0.5163346613545817,1.0120425705129465,0.9871793098747925
72,BA,0.5037294945978512,0.500398406374502,1.0185185554667089,0.9815629679520951
74,BWA,0.5040743233808544,0.499601593625498,1.016259015437862,0.9838339388132995
75,BXP,0.5245175497340201,0.503585657370518,1.0120026708978345,0.9871351210696083
76,BSX,0.5209880511661091,0.5394422310756972,1.0118431991913532,0.9874917986754549
77,BMY,0.5028703774465734,0.5051792828685259,1.010126645926294,0.9901156506011728
78,AVGO,0.5121552060410602,0.5330677290836653,1.0141684883417952,0.9854915379230632
79,BR,0.5214140400732626,0.5330677290836653,1.0099938437919858,0.9894849754998818
80,BRO,0.5281387073497773,0.5569721115537849,1.0091462041103831,0.9901414311470869
81,BF.B,0.5243876711210876,0.5282868525896415,1.0098729656821055,0.9894900241137942
82,CHRW,0.5428251781395625,0.5418326693227091,1.01064652292225,0.987749514932498
83,CDNS,0.5129672509170876,0.550597609561753,1.0138822585405862,0.985745195492994
84,CZR,0.48513048210027804,0.5298804780876494,1.0246157784613108,0.9771528966274864
85,CPB,0.5220363779233371,0.5258964143426295,1.0102932243919893,0.9891312853836502
86,COF,0.5163593950609123,0.5187250996015936,1.0161544471104942,0.9831219441032082
87,CAH,0.5222168914626574,0.5282868525896415,1.0126207669605334,0.9865792862869596
88,KMX,0.5131951570177595,0.5147410358565737,1.015743572960463,0.9837698039820951
89,CCL,0.5113729559217679,0.4900398406374502,1.0242184951514433,0.9750196059999124
91,CTLT,0.5234621503124557,0.5282868525896415,1.015435708493023,0.9834191097493374
92,CAT,0.5040229897030787,0.5163346613545817,1.0137401559143402,0.9863970164957948
93,CBOE,0.5325554008199175,0.5306772908366534,1.010387108013984,0.9885481122089368
95,CDW,0.5089812897245385,0.5378486055776892,1.0122302465787836,0.9876860511068342
96,CE,0.4950861383471005,0.49482071713147413,1.0147044945558963,0.9859354147470241
97,CNC,0.49716286264386933,0.5107569721115538,1.0144656557100755,0.9860527417160985
98,CNP,0.5312225846590296,0.5322709163346614,1.0103821485021212,0.9886158244540624
101,CF,0.49793047194015616,0.5163346613545817,1.0185599637759999,0.9819487468522539
102,CRL,0.5234822128279429,0.5434262948207171,1.0141862415615184,0.9847903731066385
103,SCHW,0.5032942311006176,0.5171314741035856,1.0148806979916642,0.9852814633162879
104,CHTR,0.5256486792046144,0.5235059760956176,1.0117125733471346,0.9873972916812241
105,CVX,0.497871753861311,0.5083665338645418,1.0130891155841404,0.9873775004538967
106,CMG,0.5014523656638713,0.5450199203187251,1.0146349798420757,0.985637966371281
107,CB,0.5235099787435009,0.5370517928286852,1.0099692612802094,0.9894217713642751
108,CHD,0.5269651371415911,0.5434262948207171,1.0089148440840345,0.9904463179846139
109,CI,0.507723642254481,0.5227091633466135,1.012944372196629,0.9870122212363547
110,CINF,0.5324751994946839,0.5434262948207171,1.0114807172000284,0.9873063208590973
111,CTAS,0.5110087455367949,0.546613545816733,1.011247911062972,0.9886108524478332
112,CSCO,0.5134998512996145,0.5179282868525896,1.010536147840639,0.9892462047750314
113,C,0.5134499794747072,0.501195219123506,1.0140314790517235,0.9855598089377866
114,CFG,0.5160143761708474,0.5171314741035856,1.0158857732676674,0.9834319458791624
116,CLX,0.5249167360797634,0.5211155378486055,1.0100771646555036,0.9892417068866369
117,CME,0.5158991781629878,0.5179282868525896,1.0101293048320659,0.9895742530539924
118,CMS,0.5238259312808962,0.5322709163346614,1.0085371265955831,0.9909835894097611
119,KO,0.5341639735002125,0.5442231075697211,1.007605854084983,0.9916619032330232
120,CTSH,0.5151242512257304,0.5059760956175299,1.011086582295821,0.9885901077866349
121,CL,0.5229368044795522,0.5179282868525896,1.0075837357736328,0.992061372133411
122,CMCSA,0.5198749966415459,0.5115537848605578,1.0106750525764225,0.9888131101039371
123,CMA,0.5223055139287658,0.5195219123505976,1.0159170040691092,0.9829703882830435
124,CAG,0.5158688201276387,0.5155378486055777,1.0107197224025088,0.9889464190761463
125,COP,0.48648088038575626,0.5075697211155379,1.017701386233798,0.983578413609988
126,ED,0.5447461614725341,0.545816733067729,1.008376489760819,0.9903691679248577
127,STZ,0.5243938496169599,0.5235059760956176,1.0106765861466687,0.9886037034372762
128,CPRT,0.5101637240884394,0.5426294820717131,1.0123459159137154,0.9875063335090141
129,GLW,0.5170163151076768,0.5155378486055777,1.0126954771456647,0.9867797160883175
131,COST,0.5161107091239454,0.5490039840637451,1.0089294373841486,0.9908450321787605
133,CCI,0.5230924278316784,0.5282868525896415,1.0101729804031472,0.9892163137175917
134,CSX,0.5088681331728095,0.5235059760956176,1.0114898531116268,0.9884588374064117
135,CMI,0.5181681266891583,0.5266932270916335,1.0118532268801401,0.987623531516649
136,CVS,0.5086108086441344,0.5147410358565737,1.0116974054185313,0.9882560716493659
137,DHI,0.5015374387750633,0.5171314741035856,1.0157870225527148,0.9844738680783647
